Actor_name	Pageviews
Antonia Lotito	nan
Antonia Preser	nan
Antonia Rey	90993
Antonia San Juan	64869
Antonia Truppo	6688
Antonia Volpe	nan
Antonia Zegers	29171
Antonie Nedošinská	5182
Antonina Choroszy	nan
Antonina Maksimova	nan
Antonique Smith	265968
Antoniya Yaneva	nan
Antzela Gerekou	3593
Antônia Denegri	nan
Anu Agarwal	88728
Anu Ansari	nan
Anu Chowdhury	19907
Anu Hassan	28814
Anu Hälvä	nan
Anu Hämäläinen	nan
Anu Prabhakar	218233
Anubha Gupta	20053
Anuja Iyer	80474
Anulka Dziubinska	41416
Anunciata Madrigano	nan
Anupama	43170
Anupama Kumar	197219
Anupama Verma	157384
Anuradha	17009
Anuradha Mehta	126830
Anuradha Menon	108070
Anuradha Patel	298305
Anuradha Roy	73982
Anurita Jha	79368
Anusha Dandekar	1283831
Anushka Sharma	8810417
Anushka Shetty	7060810
Anuya Bhagvath	296948
Anwaribai	nan
Anya Bergstedt Jordanova	nan
Anya Beyersdorf	7373
Anya Lahiri	47114
Anya Monzikova	67782
Anya Pencheva	9780
Anya Profumo	nan
Anya Stravinskaya	nan
Anya Wu	60750
Anysha Berthot	nan
Anzhela Belyanskaya	nan
Anzhelika Nevolina	nan
Anzu Lawson	16757
Anzu Nagai	8687
Anémone	58186
Anésia Pinheiro Machado	4382
Ao-jun Shen	nan
Aoba Kawai	nan
Aoi	74445
Aoi Miyazaki	164070
Aoi Teshima	42842
Aoife Doherty	nan
Aoua Sangare	nan
Aparajita	51643
Aparajita Mohanty	107455
Aparna Devi	nan
Aparna Sen	592619
Aparna Sharma	180877
Apasiri Nitibhon	13046
Apinya Sakuljaroensuk	52750
Apollo Smile	23196
Apollonia Kotero	801788
Apollonia Vanova	115157
Apoorva Jha	nan
April Billingsley	nan
April Bowlby	2199147
April Clark	1
April Crisafulli	nan
April Daniels	22630
April Dawn	nan
April DeGideo	nan
April Grace	2
April Hailer	nan
April Harvey	nan
April Hinojosa	nan
April Hunter	175024
April Lee Hernandez	9437
April Margera	357641
April Morgan	nan
April Mullen	61157
April Nicholson	nan
April Olrich	13455
April Ortiz	nan
April Pearson	308290
April Renee Yats	nan
April Scott	170704
April Stewart	212461
April Telek	85398
April Wade	7055
April Winchell	231324
Aqira	nan
Ara Celi	117052
Ara Mina	203944
Araba Walton	9714
Arabella Field	72246
Arabella Morton	46956
Arabella Weir	252841
Araby Lockhart	3642
Araceli Almaguer	nan
Araceli Gonzalez	6809
Araceli González	41191
Araceli Guzman-Rico	nan
Aracelis Rodriguez	nan
Aracely Arámbula	915777
Araci Esteves	2
Aranka Molnár	nan
Aranmula Ponnamma	109332
Arantxa Banares-Aldea	nan
Arantxa Peña	2300
Aranya Namwong	10528
Arati Bhattacharya	nan
Arcadia Lake	3793
Arcelia Larrañaga	nan
Arcelia Ramírez	65999
Archana	91798
Archana Gupta	51521
Archana Joglekar	124279
Archana Puran Singh	1264454
Archie Panjabi	1902503
Archita Sahu	215119
Ardelle Ferris	nan
Arden Myrin	302039
Ardita Mellinina	nan
Aree Davis	46890
Aretha Franklin	11872960
Argentina Brunetti	60762
Ari Graynor	1121559
Ari Meyers	164442
Aria Alpert	nan
Aria Curzon	56855
Aria Giovanni	576640
Aria Wallace	88512
Ariadna Cabrol	75268
Ariadna Gil	1308389
Ariadna Shengelaya	27310
Ariadne Welter	25495
Arian Waring Ash	nan
Ariana Almajan	nan
Ariana Richards	1111323
Ariane	37826
Ariane Ascaride	30928
Ariane Borg	nan
Ariane Labed	583983
Ariane Moret	nan
Ariane Resnick	nan
Ariane Schluter	9790
Arianna Huffington	1269785
Arianna Marsden	nan
Arianna Veronesi	nan
Arianne Borbach	nan
Arianne Fraser	nan
Arianne Martin	nan
Arianné Ulmer Cipes	nan
Ariauna Albright	nan
Ariel Burns	nan
Ariel Gade	82735
Ariel Hart	nan
Ariel Hsiung	nan
Ariel James	nan
Ariel Waller	71902
Ariel Winter	5214652
Ariel X	17
Ariel de Ravenel	nan
Ariela Rabinovitz	nan
Arielle Dombasle	218713
Arielle Kebbel	2197654
Arija Bareikis	240587
Arilene Rodrigues	nan
Arirat Ratanakaitkosol	nan
Aris Mejias	nan
Aris Mendoza	nan
Arisa Andō	6097
Arisa Cox	71664
Arisa Ogasawara	15036
Arisara Thongborisut	nan
Ariyan A. Johnson	73251
Arkie Whiteley	209514
Arleen Sorkin	426153
Arleen Whelan	38645
Arlen Stuart	nan
Arlene Cockburn	nan
Arlene Coleman-Schwimmer	nan
Arlene Dahl	650992
Arlene Duncan	17997
Arlene Francis	561446
Arlene Golonka	232930
Arlene Martel	305132
Arlene Muhlach	nan
Arlene Newman-Van Asperen	nan
Arlene Rodriguez	nan
Arlene Tur	41472
Arlete Brazolin	nan
Arlette Clark	nan
Arlette Didier	nan
Arlette Emmery	nan
Arlette Marchal	9205
Arlette Torres	nan
Arletty	125635
Arline Hunter	21763
Arline Judge	31113
Arloa Reston	4238
Arly Jover	99799
Armelia McQueen	49531
Armelle Deutsch	13183
Armenia Balducci	4
Armida Vendrell	1806
Armine Anda	nan
Arnetia Walker	48129
Arnostka Záhoríková	nan
Arpana Choudhary	nan
Arpita Mukherjee	97298
Arpita Pal	146853
Arpitha	nan
Arptia Mukherjee	nan
Arsinée Khanjian	72861
Arta Dobroshi	34297
Artemis Ioannides	nan
Arthi Agarwal	15319
Artika Sari Devi	27537
Arun Pandian	198159
Aruna Irani	1167350
Aruna Mucherla	171694
Aruna Raje	30254
Aruna Shields	204435
Arundathi Nag	221647
Arundhati Rao	nan
Arundhati Roy	1978168
Aruray	10931
Arwa Gouda	nan
Arya Menon	nan
Aryana Engineer	239804
Arzu Bazman	2
Asa Almeby	nan
Asa Maynor	nan
Asaka Seto	23061
Asami Katsura	nan
Asami Miyajima	12120
Asami Mizukawa	53154
Asawari Joshi	125188
Asha	198109
Asha Bharosa	nan
Asha Bhosle	2039413
Asha Magarati	nan
Asha Menina	nan
Asha Parekh	1084885
Asha Patel	79491
Asha Posley	24600
Asha Potdar	nan
Asha Puthli	49782
Asha Sachdev	157957
Asha Saini	374222
Asha Sharma	4
Ashalata Wabgaonkar	75254
Ashanti	111936
Ashe Venn	nan
Asher Keddie	436174
Ashera Ramadan	nan
Ashima Bhalla	166432
Ashitha	6250
Ashlee Simpson-Wentz	936
Ashlee Thompson	nan
Ashleigh Aston Moore	437772
Ashleigh Ball	302370
Ashleigh Cummings	778135
Ashleigh Gryzko	nan
Ashleigh Rains	10737
Ashley Albert	nan
Ashley Argota	206545
Ashley Ashida Dixon	nan
Ashley Ausburn	nan
Ashley Austin Morris	46517
Ashley Bates	nan
Ashley Bell	124425
Ashley Benson	4158178
Ashley Black	13095
Ashley Blackwell	nan
Ashley Boettcher	100419
Ashley Buccille	25920
Ashley Byford	nan
Ashley C. Williams	176299
Ashley Carin	nan
Ashley Cox	47100
Ashley Crow	104312
Ashley Curtis	nan
Ashley Drane	22891
Ashley Edner	20668
Ashley Elizabeth Pierce	nan
Ashley Fink	113843
Ashley Gardner	74616
Ashley Gerasimovich	117356
Ashley Greene	1954393
Ashley Gurnari	nan
Ashley Gutherie	nan
Ashley Hanna	nan
Ashley Hartman	31600
Ashley Hinshaw	1489115
Ashley Hoelck	nan
Ashley Hughes	3584
Ashley Jackson	5576
Ashley Jensen	1605724
Ashley Johnson	2494681
Ashley Judd	5366757
Ashley L. Anderson	nan
Ashley Laurence	280649
Ashley LeConte Campbell	nan
Ashley Leggat	294900
Ashley Leong	nan
Ashley Lilley	92009
Ashley Loren	nan
Ashley Lyn Cafagna	19921
Ashley Madekwe	638034
Ashley McGarry	nan
Ashley Middlebrook	nan
Ashley Mulheron	34625
Ashley Newbrough	175502
Ashley Nicole	nan
Ashley Niles	nan
Ashley Olsen	4616214
Ashley Peldon	200232
Ashley Platz	nan
Ashley Rickards	583361
Ashley Roberts	1696971
Ashley Rose Orr	23560
Ashley Routledge	nan
Ashley Schappert	801
Ashley Schneider	nan
Ashley Scott	861645
Ashley Serrao	nan
Ashley Shaw	4475
Ashley Taylor	16969
Ashley Tisdale	3748657
Ashley Wang	nan
Ashley Wanninger	nan
Ashley Whillans	nan
Ashley White	nan
Ashley Williams	52550
Ashley Wolfe	nan
Ashlie Atkinson	230108
Ashlie Brillault	21
Ashlyn Gere	441580
Ashlyn Killham	nan
Ashlyn Sanchez	81498
Ashlynn Brooke	1140149
Ashlynn Rose	nan
Ashlynn Ross	nan
Ashlynn Yennie	436595
Ashmita Joglekar	nan
Ashoo	3
Ashwini Apte	nan
Ashwini Bhatt	15407
Ashwini Bhave	440172
Ashwini Giri	nan
Ashwini Kalsekar	824888
Ashwini Kulkarni	nan
Asia Argento	6125932
Asia Carrera	2080655
Asia Vieira	56312
Asin Thottumkal	211028
Asiru	nan
Asli Bayram	2640
Asma Al Shiukhy	nan
Aspasia Kralli	nan
Aspen Stevens	nan
Assata Shakur	2286429
Assi Levy	1381
Assia Noris	25153
Assita Ouedraogo	1
Assumpta Micho	nan
Assumpta Serna	134895
Assunta de Rossi	28114
Asta Nielsen	46288
Astha Singhal	nan
Astrid Allwyn	48360
Astrid Assefa	2178
Astrid Azurdia	nan
Astrid Bergès-Frisbey	8844
Astrid Folstad	6997
Astrid Hadad	35570
Astrid Henning-Jensen	13420
Astrid Holm	15901
Astrid Lindgren	711136
Astrid Magallon	nan
Astrid Villaume	8460
Asuka Higuchi	nan
Asuka Kurosawa	16955
Asuman Krause	20196
Asun Ortega	38473
Asunción Balaguer	18659
Asunta D'Urso Fleming	nan
Aswathy Ashok	nan
Aswini	3443
Atang de la Rama	78538
Atangana Christelle Zita	nan
Atefeh Razavi	6982
Athanasia Moustaka	nan
Athena Chu	203130
Athena Karkanis	823360
Athena Massey	58390
Athena Russell	nan
Athene Seyler	59554
Athina Cenci	18645
Athina Mavromati	nan
Atia Jewayni	nan
Atilia Boschetti	nan
Atiqa Odho	157967
Atisha Naik	38804
Atiya Ahsan	nan
Atossa Leoni	43927
Atsuki Katô	nan
Atsuko Asano	18148
Atsuko Jingu	nan
Atsuko Sakuraba	5578
Atsuko Takahata	17998
Atsuko Tanaka	13814
Atsuko Yuya	16134
Atsumi Miho	nan
Aubin Munn	nan
Aubree Miller	34048
Aubrey Dollar	128557
Aubrey Miles	188924
Aubrey O'Day	1383210
Aubrey Plaza	9998814
Aubrey Richards	14923
Aud Egede-Nissen	12700
Aud Schønemann	5568
Auden Thornton	nan
Audie England	66341
Audra Blaser	nan
Audra Lindley	583199
Audra McDonald	1769033
Audrey Amey	nan
Audrey Bastien	11974
Audrey Battah	nan
Audrey Christie	32219
Audrey Dalton	184591
Audrey Dana	33978
Audrey DeWilder	nan
Audrey Elizabeth Evans	693
Audrey Ferris	7544
Audrey Fildes	7529
Audrey Fleurot	448967
Audrey Giacomini	25006
Audrey Heaven	nan
Audrey Hepburn	13639079
Audrey Lamy	29743
Audrey Landers	470275
Audrey Long	81746
Audrey Lynn Weston	nan
Audrey Marie Anderson	298624
Audrey Marnay	35533
Audrey McDonald	nan
Audrey Meadows	685181
Audrey Metcalf	nan
Audrey Munson	261427
Audrey Needham	nan
Audrey P. Scott	nan
Audrey Quock	17561
Audrey Reid	3626
Audrey Ridgewell	nan
Audrey Scott	nan
Audrey Speck	nan
Audrey Tautou	1411702
Audrey Totter	256213
Audrey Wasilewski	85155
Audrey Young	2611
Audrie J. Neenan	66750
Audrina Patridge	1484218
Audry Papilaja	nan
Augie Duke	25599
August	962574
Augusta Anderson	4681
Augusta Ciolli	nan
Augusta Dabney	51342
Augusta Selmer	nan
Aulani Wehage	nan
Aunjanue Ellis	776728
Aura Calarasu	nan
Aure Atika	141700
Aurelia Ferrer	3099
Aurelie Amblard	707
Aurelle Doazan	nan
Auristela Sá	nan
Aurora Brown	nan
Aurora Browne	79814
Aurora Clavel	25772
Aurora Cornu	13016
Aurora Duarte	nan
Aurora Fúlgida	nan
Aurora Marion	nan
Aurora Miranda	87965
Aurora Muñoz	nan
Aurora Quattrocchi	nan
Aurora Segura	12621
Aurora Snow	745501
Aurora Walker	5259
Aurora de Alba	nan
Aurore Broutin	nan
Aurore Clément	92160
Aurélia Alcaïs	nan
Aurélia Hollart	nan
Aurélia Nolin	nan
Aurélia Petit	11247
Aushima Sawhney	3
Austin Highsmith	1
Austin Marie Sayre	nan
Austyn Moore	27
Autumn Federici	11384
Autumn Gruber	nan
Autumn Reeser	1276856
Autumn Wendel	nan
Auður Drauma Bachmann	nan
Ava Cadell	69270
Ava Corinne	nan
Ava Fabian	80179
Ava Gardner	4307953
Ava Gaudet	16575
Ava Hughes	nan
Ava Jean Miller-Porter	nan
Ava Marie Carmichael	nan
Ava Mukherjee	14617
Ava Santana	16
Avaa Vanja	nan
Avantika	7020
Avaz Latif	nan
Ave Ninchi	13649
Avery Sommers	nan
Avi Kleinberger	nan
Avi Sagild	3903
Avice Landone	23954
Avika Gor	1148611
Avis Bunnage	53644
Avis-Marie Barnes	nan
Avita Jay	nan
Avital Abergel	9975
Avital Diker	nan
Avital Greenberg-Teplitsky	nan
Aviva	494609
Aviva Hersh	nan
Aviva Marcus	nan
Avni Vasa	nan
Avonne Taylor	nan
Avril Angers	40621
Avril Elgar	52117
Avril Lavigne	9605496
Avu	nan
Avy Lee Roth	9
Avy Scott	115711
Awa Ly	11059
Aware Xan	nan
Axelle Carolyn	48434
Axelle Cummings	nan
Ay Sarem	nan
Aya Cash	656990
Aya Hirano	379181
Aya Hirayama	27688
Aya Hisakawa	124391
Aya Kiguchi	11974
Aya Kokumai	nan
Aya Matsuura	56744
Aya Murata	nan
Aya Okamoto	11467
Aya Sugimoto	58091
Aya Takashima	nan
Aya Ueto	165423
Ayaan Hirsi Ali	1438917
Ayaka Izumi	nan
Ayaka Maeda	nan
Ayaka Morita	nan
Ayaka Onoue	nan
Ayaka Wilson	nan
Ayako Fujitani	949799
Ayako Kawasumi	176840
Ayako Wakao	28816
Ayako Yoshitani	nan
Ayana Sakai	7699
Ayanat Ksenbai	nan
Ayanna Berkshire	nan
Ayano Washizu	nan
Ayben Erman	nan
Ayda Aksel	nan
Ayda Field	2956680
Ayda Sadeqi	nan
Ayelet Kaznelson	nan
Ayelet Zurer	1056357
Ayesha Adhami	nan
Ayesha Dharker	229199
Ayesha Jhulka	846913
Ayesha Kapoor	15281
Ayesha Takia	2245030
Ayfer Feray	nan
Ayla Arslancan	8547
Ayla Kell	184675
Ayla Rose Barreau	nan
Aylar Lie	455145
Aylin Prandi	nan
Aylin Tezel	67393
Ayse Altay	nan
Ayse Aslan	nan
Ayse Romey	3996
Ayse Tezel	16066
Ayshe Gul	nan
Aysia Lee	nan
Ayu Azhari	56737
Ayu Kitaura	nan
Ayu Kiyokawa	nan
Ayuko Fujishiro	nan
Ayumi Fujimura	87620
Ayumi Hamasaki	810113
Ayumi Ishida	4798
Ayumi Ito	43833
Ayumi Kinoshita	56600
Ayumi Taguchi	nan
Ayumi Takano	nan
Ayumu Tokitô	nan
Ayushita	19821
Ayçin Inci	nan
Ayşegül Aldinç	16939
Ayọ	118551
Azean Irdawaty	16683
Azie Tesfai	134205
Aziza Semaan	nan
Azizah Mahzan	nan
Azizi Johari	36355
Azoorie	nan
Azra	92593
Azra Akın	121672
Azrael Renea des Reves	nan
Azura Skye	231467
Aída Alberti	4704
Aída Luz	7767
Aída Sportelli	nan
Aída Vignan	nan
Aída Villadeamigo	nan
Aïna Walle	nan
Aïssa Maïga	114360
B. J. Ward	2221
B. Saroja Devi	428926
Ba Yin Qi Qi Ge	nan
Babe London	20010
Babette Bardot	26698
Babi	33780
Babita	1080477
Babra Sharif	199327
Baby Akshaya	nan
Baby Anikha	49119
Baby Farida	nan
Baby Gazala	182
Baby Guddu	nan
Baby Mack	nan
Baby Mamtha	nan
Baby Margie	nan
Baby Nirmal	nan
Baby Padmini	nan
Baby Rajani	nan
Baby Rani	5247
Baby Richa Madhusudan	nan
Baby Roopa	nan
Baby Sarah Shetty	nan
Baby Seena	3
Baby Shalu	nan
Baby Shivani	nan
Baby Shobha	nan
Baby Sneha Rao	nan
Baby Spofford	nan
Baby Usha	nan
Baby Zubeida	nan
Babz Chula	28216
Bae Doo-na	90972
Bae Jong-ok	194096
Bae Min-hee	3548
Baek Jin Hee	1685
Bahar Erdeniz	1
Bahar Soomekh	156042
Bahare Seddiqi	nan
Bahni Turpin	16540
Bai Hong	16150
Bai Ling	735443
Bai Xue	9984
Baiba Broka	2108
Bailee Madison	3141993
Bailee Michelle Johnson	2
Bailey Garno	nan
Baily Hopkins	nan
Bairbre Dowling	101155
Bala Sundram	nan
Bambi Darro	nan
Bambi Linn	26573
Bambi Woods	697806
Ban-ya Choi	nan
Banaja Mohanty	2
Bang Eun-hee	31628
Bang Eun-jin	24447
Bang-ran Hyeon	nan
Banula Marika	nan
Banumathi	7478
Bar Paly	661970
Baran Kosari	39249
Barbara Adair	3748
Barbara Adolph	nan
Barbara Allyne Bennett	nan
Barbara Alyn Woods	565868
Barbara Anderson	4089
Barbara Ann Teer	30585
Barbara Auer	45761
Barbara Babcock	427069
Barbara Bach	1869654
Barbara Bain	1138745
Barbara Barendrecht	nan
Barbara Barnes-Hopkins	nan
Barbara Barnett	nan
Barbara Barondess	nan
Barbara Barrie	403238
Barbara Barron	nan
Barbara Bates	186776
Barbara Baxley	96418
Barbara Beaird	nan
Barbara Bedford	1575
Barbara Bel Geddes	686727
Barbara Bennett	110209
Barbara Berg	nan
Barbara Bertram	nan
Barbara Billingsley	927255
Barbara Blair	4396
Barbara Bosson	244005
Barbara Bouchet	351424
Barbara Britton	131601
Barbara Brown	5114
Barbara Brylska	58476
Barbara Bryne	25451
Barbara Cabrita	24225
Barbara Carney	nan
Barbara Carrera	536888
Barbara Castleton	5735
Barbara Chase	nan
Barbara Contini	3461
Barbara Cook	285265
Barbara Coven	nan
Barbara Crampton	340478
Barbara Cupisti	21858
Barbara Dana	nan
Barbara Dare	313203
Barbara De Rossi	35877
Barbara Deloney	nan
Barbara Dennek	nan
Barbara Dittus	4094
Barbara Donnelly	nan
Barbara Dow	nan
Barbara Durkin	107391
Barbara Dzido-Lelinska	nan
Barbara E. Robertson	1372
Barbara Eda-Young	nan
Barbara Eden	2896904
Barbara Eve Harris	110241
Barbara Everest	33552
Barbara Ewing	39240
Barbara Feldon	734518
Barbara Ferris	60922
Barbara Florian	3386
Barbara Flynn	314318
Barbara Franklin	32715
Barbara Garrick	191505
Barbara Goenaga	23800
Barbara Goodson	261242
Barbara Gordon	1640844
Barbara Gott	4300
Barbara Gray	553
Barbara Gruen	nan
Barbara Hale	1595509
Barbara Hamilton	1826
Barbara Harris	59111
Barbara Hendricks	64067
Barbara Herrera	nan
Barbara Hershey	2081826
Barbara Hewitt	nan
Barbara Hey	nan
Barbara Hicks	36141
Barbara Howard	6374
Barbara James	5415
Barbara Jean Barrielle	nan
Barbara Jean Wong	14759
Barbara Jefford	114541
Barbara Jo Allen	69215
Barbara Jones	9072
Barbara K. MacDonald	9586
Barbara Kellerman	110396
Barbara Kelly	56549
Barbara Kent	53378
Barbara Keogh	15847
Barbara Kerr Condon	nan
Barbara Kilner	nan
Barbara King	nan
Barbara Kingsley	nan
Barbara Kohn	nan
Barbara Kowa	3763
Barbara Krafftowna	268
Barbara Kwiatkowska-Lass	278427
Barbara L. Southern	nan
Barbara La Marr	171615
Barbara Lawrence	90696
Barbara Lee Babbitt	nan
Barbara Leigh	143896
Barbara Leigh-Hunt	122767
Barbara Leite	nan
Barbara Leonard	6086
Barbara Loden	225531
Barbara Lord	nan
Barbara Lott	49713
Barbara Loy	nan
Barbara Luddy	172206
Barbara Luna	65508
Barbara Lyon	46684
Barbara Magnolfi	20445
Barbara Mamabolo	34363
Barbara Mandrell	1070162
Barbara March	117973
Barbara Marten	34366
Barbara Martin	7161
Barbara McNair	207624
Barbara Mitchell	82079
Barbara Morrison	29473
Barbara Mullen	47870
Barbara Murdock	nan
Barbara Murray	116341
Barbara Neal	nan
Barbara Nedeljáková	152492
Barbara New	68698
Barbara Nichols	247784
Barbara Niven	565323
Barbara O	2
Barbara O'Neil	158071
Barbara P. Engstrom	nan
Barbara Parkins	367610
Barbara Payton	355183
Barbara Pepper	240477
Barbara Perez	41493
Barbara Pertoldi	nan
Barbara Philipp	nan
Barbara Pierce	177225
Barbara Pilavin	nan
Barbara Radecki	7984
Barbara Rafferty	53184
Barbara Randolph	90031
Barbara Read	67776
Barbara Rebeschini	nan
Barbara Rey	1168
Barbara Rhoades	228139
Barbara Rogers	nan
Barbara Rudnik	16882
Barbara Ruick	248411
Barbara Rush	632412
Barbara Rütting	33509
Barbara Sarafian	1
Barbara Schöne	4018
Barbara Shaw	1307
Barbara Sheldon	8378
Barbara Shelley	199609
Barbara Slater	1283
Barbara Spiegel	nan
Barbara Stanwyck	2879865
Barbara Steele	212962
Barbara Stuart	368198
Barbara Sukowa	194559
Barbara Tarbuck	95301
Barbara Tennant	755
Barbara Tremain	nan
Barbara Trentham	241280
Barbara Trojanová	nan
Barbara Troy	nan
Barbara Turner	2631
Barbara Tyson	39487
Barbara Valentin	769580
Barbara Vidovic	nan
Barbara Voice	nan
Barbara Walters	2252028
Barbara Whinnery	21062
Barbara White	2684
Barbara Whiting Smith	14676
Barbara Williams	5322
Barbara Wilshere	15345
Barbara Winchester	nan
Barbara Windsor	1953874
Barbara Woodell	14485
Barbara von Annenkoff	5554
Barbarah Wilshire	nan
Barbi Benton	1792715
Barbie Forteza	322352
Barbie Hsu	359586
Barbie Wilde	42273
Barbora Bobulová	1220
Barbora Hrzánová	4096
Barbora Kodetová	48162
Barbora Lukesová	nan
Barbora Milotová	nan
Barboura Morris	48664
Barbra Fuller	18375
Barbra Streisand	8458228
Barbro Hiort af Ornäs	13625
Barbro Kollberg	5707
Bari Dahan	nan
Barkha Bisht Sengupta	316844
Barkha Madan	87490
Barnee Abrams	nan
Barney, the Woolly Monkey	nan
Barret Swatek	39959
Barrett Perlman	nan
Barrie Chase	216909
Barrie Youngfellow	106473
Barrow Davis	nan
Barsha Priyadarshini	185023
Bartine Burkett	8843
Basak Köklükaya	501
Basanti Gurung	nan
Basia A'Hern	46811
Basia Frydman	4955
Basienka Blake	nan
Basil McCurry	nan
Basma	22534
Basti Cafarova	nan
Basundhara Bhushal	nan
Baya Belal	nan
Bea Alonzo	800669
Bea Benaderet	953154
Bea Bernstein	nan
Bea Lindgren	nan
Bea Spade	nan
Beah Richards	243989
Beata Asimakopoulou	6305
Beata Pozniak	16556
Beata Tyszkiewicz	49772
Beate Abraham	nan
Beate Antares	nan
Beate Finckh	4315
Beate Halkjelsvik	nan
Beate Herwigh	nan
Beate Jensen	nan
Beate Kopp	nan
Beate Sirota	5556
Beate Springer	nan
Beate Støfring	nan
Beatie Edney	430920
Beatrice Alda	323770
Beatrice Altariba	568
Beatrice Arthur	195128
Beatrice Bentley	nan
Beatrice Blinn	nan
Beatrice Boepple	7716
Beatrice Bush	nan
Beatrice Campbell	58888
Beatrice Chia	6246
Beatrice Duffy	nan
Beatrice Endahl	nan
Beatrice Gray	20287
Beatrice Hayes	nan
Beatrice Kay	15852
Beatrice Lillie	138302
Beatrice Mancini	4245
Beatrice Manowski	nan
Beatrice Marsden	nan
Beatrice Miller	25555
Beatrice Pons	32036
Beatrice Ring	nan
Beatrice Roberts	26998
Beatrice Rosen	152457
Beatrice Straight	307580
Beatrice Varley	26890
Beatrice Vitoldi	10100
Beatrice Welles	369719
Beatrice Winde	44802
Beatrice Wood	184374
Beatrix Fielden-Kaye	nan
Beatrix Lehmann	33255
Beatriz Batarda	33388
Beatriz Costa	9737
Beatriz Michelena	19809
Beatriz Moreno	nan
Beatriz Ramos	nan
Beatriz Saw	8142
Beatriz Segall	23552
Beatriz Sheridan	25762
Beatriz Torcato	nan
Beatriz Yuste	nan
Beau Garrett	1059458
Beauty Gonzalez	380721
Beba Diamantopoulou	nan
Beba Loncar	16439
Beba Novak	nan
Bebe	82352
Bebe Daniels	237716
Bebe Drake	5
Bebe Neuwirth	2064581
Bebe Pham	83011
Bebel Gilberto	181224
Bebi Moraitopoulou	nan
Bec Stupak	3789
Becca Ayers	nan
Becca Gardner	2
Becca Johnson	nan
Becca Lish	1
Becca Sweitzer	nan
Becki Newton	753410
Beckie King	nan
Becky Ann Baker	331815
Becky Fly	nan
Becky Johnston	19895
Becky LeBeau	nan
Becky Meister	nan
Becky Ngoma	nan
Becky O'Donohue	21974
Becky Thyre	nan
Becky Vigil	nan
Becky Wahlstrom	78768
Bedija Begovska	nan
Bee	2504399
Bee Duffell	nan
Beena	6323
Beena Devi	nan
Beena Kak	113513
Begoña Narváez	51116
Begum Akhtar	393563
Begum Para	261133
Begum Parveen	nan
Begüm Birgören	nan
Behnaz Jafari	22669
Behroze Sabzwari	193382
Bel Parker	nan
Belen Blanco	nan
Belinda Balaski	67143
Belinda Bauer	9050
Belinda Beatty	nan
Belinda Cornish	1896
Belinda Emmett	249259
Belinda Everett	nan
Belinda Fenty	nan
Belinda Giblin	120435
Belinda Hamnett	22930
Belinda Lang	329338
Belinda Lazenby	nan
Belinda Lee	121298
Belinda Mayne	30645
Belinda McClory	137455
Belinda Meuldijk	9489
Belinda Montgomery	210224
Belinda Peregrín	634803
Belissa Cruz Pupo	nan
Belita	61517
Belita Moreno	261760
Bella Akhmadulina	44093
Bella Balajadia	nan
Bella Boyd	nan
Bella Darvi	95625
Bella Frommell	nan
Bella Heathcote	1456761
Bella Heesom	nan
Bella Ivory	nan
Bella King	1051
Bella Riza	nan
Bella Starace Sainati	3760
Bella Tanay	nan
Bella Thorne	12257006
Belladonna	196482
Bellamy Young	1493510
Belle Avery	nan
Belle Baker	21797
Belle Bennett	21945
Belle Chrystall	8538
Belle Hsin	nan
Belle Mitchell	11980
Belle Montrose	16969
Belle Richter	nan
Belle Tildy	nan
Bellina Logan	57077
Belma Canciger	nan
Belva Kibler	nan
Belçim Bilgin	162919
Belén Constenla	nan
Belén Fabra	62962
Belén Rueda	143318
Benay Venuta	36786
Benedetta Fantoli	nan
Benedetta Rutili	nan
Benedicte Aubert Ringnes	nan
Benedicte Westbye	nan
Beni Cardoso	nan
Benita Collings	49521
Benita Ha	37074
Benita Hume	147861
Benita Lydal	nan
Benita Nzeribe	nan
Benita Puértolas	2647
Benita Robledo	nan
Bennu Yildirimlar	914
Benta Ochieng	nan
Bente Børsum	6776
Benu Mabhena	nan
Beppie De Vries	nan
Beppie Murray	nan
Beppie Nooy Sr.	nan
Beren Saat	682261
Bergen Williams	9200
Berit Essler	nan
Berliana Febryanti	nan
Berlinda Tolbert	462703
Bernadene Hayes	10999
Bernadette	50079
Bernadette Balagtas	nan
Bernadette Birkett	nan
Bernadette Butler	nan
Bernadette Cuvalo	nan
Bernadette Da Silva	nan
Bernadette Hodeib	nan
Bernadette Lafont	54349
Bernadette Le Saché	nan
Bernadette Li	nan
Bernadette Murray	nan
Bernadette O'Farrell	49149
Bernadette Perez	nan
Bernadette Peters	2776171
Bernadette Robert	1
Bernadette Shortt	nan
Bernardine Dohrn	345599
Bernice Claire	11569
Bernice DeLeo	nan
Bernice Hansen	15927
Bernice Liu	146098
Bernice Quiggan	nan
Bernice Smiley	nan
Bernice Stegers	3220
Berry Berenson	1144078
Berta Domínguez D.	nan
Berta Drews	11657
Berta Esquirol	nan
Berta Hall	2981
Berta Hernández	nan
Berta Litwina	nan
Berta Ojea	nan
Berta Ortegosa	1728
Berta Ruiz	nan
Berta Zemel	nan
Bertha Belmore	5184
Bertha Laurentius	nan
Bertha Moss	8999
Bertha Priestley	nan
Bertha Yates	nan
Berthe Bovy	6843
Berthe Qvistgaard	3152
Bertica Serrano	nan
Bertice Reading	16633
Bertille Noël-Bruneau	14277
Beryl Bainbridge	106400
